Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,hdb_completed,hdb_address,scope_via,pluto_current_bbl,bbl_sunsetted
X00804817,New Building,2. Approved Application,2129194,2031980012,2,41,NORTH STREET,,,0.0,38,38.0,,2023-01-09,,,Other,PROPOSED NEW SEVEN (7) STORY MIXED-USE BUILDING: THIRTY-FIGHT (38) DWELLING UNITS WITH COMMUNITY FACILITY ON THE GROUND AND ELEVEN (11) PARKING SPACES @ CELLAR,40.860302,-73.904618,False,41 NORTH STREET,bbl_block,2031980012,False
X00805009,New Building,2. Approved Application,2008386,2028620090,2,1959,JEROME AVENUE,,,0.0,290,290.0,,2023-01-18,,,Other,NB filed to construct a new 16 story mixed use building of residential and commercial use to be reviewed via the HUB HPD Unit.,40.851444,-73.909966,False,1959 JEROME AVENUE,bbl_block,2028620090,False
X00819177,Alteration,5. Completed Construction,2008701,2028720262,2,1584,JESUP AVENUE,2023.0,2023.0,2.0,9,7.0,9.0,2023-02-08,2023-07-19,2023-12-15,Other,Existing 2-Story and cellar 2-Family building to be converted to a 9-Family Dwelling,40.84542231579705,-73.91808109760609,True,1584 JESUP AVENUE,bbl_block,2028720262,False
X00865295,Demolition,2. Approved Application,2014241,2031980014,2,2310,GRAND AVENUE,,,1.0,0,-1.0,,2023-07-31,,,1 Family,DEMOLITION MEANS AND METHODS OF THE EXISTING 2 STORY BUILDING.,40.86046047274187,-73.90457507005777,False,2310 GRAND AVENUE,bbl_block,2031980014,False
X00908433,New Building,3. Permitted for Construction,2094542,2028560001,2,1320,INWOOD AVENUE,,2025.0,0.0,210,210.0,,2023-08-11,2025-08-19,,Other,Construct new 14 story mixed use building as per plans filed.,40.8388875191858,-73.91958343105748,False,1320 INWOOD AVENUE,bbl_block,2028560001,False
X00984772,Alteration,5. Completed Construction,2008203,2028490083,2,59,CLIFFORD PLACE,2025.0,2024.0,2.0,10,8.0,10.0,2024-01-05,2024-02-29,2025-03-05,Other,Existing 2 story and basement 2-Family to be converted into a 10-unit building,40.84618168075769,-73.91169662781236,True,59 CLIFFORD PLACE,bbl_block,2028490083,False
X00985124,Alteration,1. Filed Application,2014207,2031960029,2,2232,DAVIDSON AVENUE,,,65.0,67,2.0,,2024-02-19,,,Other,THIS APPLICATION IS BEING FILED FOR GENERAL CONSTRUCTION TO RENOVATE EXISTING RESIDENTIAL APARTMENTS TO CREATE ADDITIONAL DWELLING UNITS OBTAIN NEW CERTIFICATE OF OCCUPANCY AND RESTORATION OF SUPERS' APARTMENT AT CELLAR TO ORIGINAL LEGAL CONDITION.,40.857768569603536,-73.90511378060852,False,2232 DAVIDSON AVENUE,bbl_block,2031960029,False
X01002892,Alteration,5. Completed Construction,2003110,2025060148,2,67,WEST 169 STREET,2025.0,2024.0,4.0,8,4.0,8.0,2024-02-13,2024-10-11,2025-06-16,Other,ALT1 TO CONVERT EXTG. 4 APTS TO 8 APTS  INTERIOR DEMOLITION  NEW PARTITIONS  NEW KITCHEN BATHROOM NEW LIGHTING AND ELECTRICAL WORK FOR THE NEW APT AS PER PLANS OBTAIN NEW C/O.,40.83922680677452,-73.9220914668734,True,67 WEST 169 STREET,bbl_block,2025060148,False
X01038101,Alteration,2. Approved Application,2014042,2031850007,2,6,CAMERON PLACE,,,3.0,9,6.0,,2024-04-19,,,Other,Existing 2 story and basement 2-Family to be converted into a 9-unit building,40.855886528718216,-73.90478878215731,False,6 CAMERON PLACE,bbl_block,2031850007,False
X01061167,Alteration,5. Completed Construction,2129668,2028720148,2,1544,SHAKESPEARE AVENUE,2025.0,2024.0,116.0,116,0.0,116.0,2024-06-21,2024-09-26,2025-12-10,Other,ALTCO FILED FOR CONVERSION OF AN EXISTING VACANT 'M' SPACE INTO AN AMBULATORY FACILITY AS PER PLANS FILED HEREWITH.,40.84577141884002,-73.91897249098476,True,1544 SHAKESPEARE AVENUE,bbl_block,2028727501,True
