bin,base_bbl,input_list,resolution,last_status_type,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
3038982,3014500048,unverified,listed_lot,Constructed,2195 BERGEN STREET,1901.0,1901.0,S1,4,False,1.0,2.0,1.0,69840.0,False,2.0,,,5.0,True,"MULTIPOLYGON (((-73.907449 40.674008, -73.907452 40.673978, -73.907461 40.673883, -73.907526 40.673887, -73.907518 40.673982, -73.907515 40.674012, -73.907449 40.674008)))"
3038983,3014500049,unverified,listed_lot,Constructed,2193 BERGEN STREET,1901.0,1901.0,S2,4,False,2.0,3.0,1.0,42720.0,False,2.0,,,3.0,True,"MULTIPOLYGON (((-73.907515 40.674012, -73.907518 40.673982, -73.907526 40.673887, -73.907587 40.67389, -73.907579 40.673982, -73.907576 40.674015, -73.907515 40.674012)))"
3038984,3014500050,unverified,listed_lot,Constructed,2191 BERGEN STREET,1901.0,1901.0,S2,4,False,2.0,3.0,1.0,57900.0,True,30.0,,,2.0,True,"MULTIPOLYGON (((-73.907576 40.674015, -73.907579 40.673982, -73.907587 40.67389, -73.907658 40.673894, -73.90765 40.673981, -73.907636 40.674132, -73.907633 40.674168, -73.90757 40.674165, -73.907571 40.67415, -73.907583 40.674015, -73.907576 40.674015)))"
3038985,3014500051,unverified,listed_lot,Constructed,2187 BERGEN STREET,1921.0,1921.0,G9,7,False,0.0,1.0,1.0,284850.0,False,,,,,False,"MULTIPOLYGON (((-73.907633 40.674168, -73.907636 40.674132, -73.90765 40.673981, -73.907658 40.673894, -73.9078 40.673902, -73.907793 40.673974, -73.90778 40.674111, -73.907774 40.674176, -73.907633 40.674168)))"
3425590,3014560001,unverified,block_expanded,Constructed,1613 EAST NEW YORK AVENUE,2020.0,2019.0,C1,2,True,33.0,33.0,1.0,2265300.0,True,33.0,2017-10-19,2020-08-28 00:00:00,9.0,True,"MULTIPOLYGON (((-73.908287 40.673518, -73.908268 40.673738, -73.907879 40.673716, -73.907883 40.673689, -73.908287 40.673518)))"
3041950,3015400001,unverified,block_expanded,Constructed,71 MOTHER GASTON BLVD,1910.0,1910.0,C0,2,True,3.0,3.0,2.0,84420.0,False,,,,,False,"MULTIPOLYGON (((-73.90815 40.679261, -73.908004 40.679278, -73.908002 40.679267, -73.907939 40.679275, -73.907933 40.679244, -73.907996 40.679237, -73.907993 40.679224, -73.908108 40.67921, -73.908117 40.6792, -73.908132 40.679198, -73.908152 40.679209, -73.908155 40.679222, -73.908144 40.679231, -73.90815 40.679261)))"
3406772,3015400001,unverified,block_expanded,Constructed,71 MOTHER GASTON BLVD,1910.0,1910.0,C0,2,True,3.0,3.0,2.0,84420.0,False,,,,,False,"MULTIPOLYGON (((-73.907865 40.679272, -73.907857 40.679228, -73.907898 40.679224, -73.907911 40.679292, -73.90787 40.679296, -73.907865 40.679272)))"
3041951,3015400002,unverified,block_expanded,Constructed,69 MOTHER GASTON BLVD,1910.0,1910.0,C0,2,True,3.0,3.0,1.0,81180.0,False,,,,,False,"MULTIPOLYGON (((-73.908004 40.679278, -73.90815 40.679261, -73.908162 40.679318, -73.908016 40.679336, -73.908014 40.679324, -73.907951 40.679331, -73.907944 40.679299, -73.908007 40.679291, -73.908004 40.679278)))"
3041952,3015400003,unverified,block_expanded,Constructed,67 MOTHER GASTON BLVD,1910.0,1910.0,C0,2,True,3.0,3.0,1.0,86220.0,True,3.0,,,2.0,True,"MULTIPOLYGON (((-73.908016 40.679336, -73.908162 40.679318, -73.908173 40.679372, -73.908027 40.67939, -73.908024 40.679375, -73.907961 40.679383, -73.907955 40.679353, -73.908018 40.679346, -73.908016 40.679336)))"
3041953,3015400004,unverified,block_expanded,Constructed,65 MOTHER GASTON BLVD,1910.0,1910.0,C0,2,True,3.0,3.0,1.0,81180.0,True,3.0,,,1.0,True,"MULTIPOLYGON (((-73.908027 40.67939, -73.908173 40.679372, -73.908184 40.679427, -73.908081 40.67944, -73.908038 40.679445, -73.908036 40.679431, -73.907973 40.679438, -73.907969 40.67942, -73.907966 40.679406, -73.908029 40.679399, -73.908027 40.67939)))"
