bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
2025060118,1298 SHAKESPEARE AVENUE,C0,2,1901,3,3,1,45540.0,40.8397788,-73.9221827,on a listed block
2025060102,1281 EDWARD L GRANT HWY,B9,1,1925,2,2,1,65220.0,40.8384094,-73.9223722,on a listed block
2025060100,1285 EDWARD L GRANT HWY,D1,3,2018,29,29,1,1894950.0,40.8385356,-73.9222962,on a listed block
2025060116,1294 SHAKESPEARE AVENUE,B2,1,1899,2,2,1,49260.0,40.8396636,-73.9221973,on a listed block
2025060089,1276 SHAKESPEARE AVENUE,QG,9,0,0,0,0,125100.0,40.8389611,-73.9224077,on a listed block
2025060094,EDWARD L GRANT HWY,V1,11,0,0,0,0,338850.0,40.8388291,-73.9220826,on a listed block
2025060098,1287 EDWARD L GRANT HWY,C0,2,1901,3,3,3,68460.0,40.8386563,-73.9222202,on a listed block
2025060104,1275 EDWARD L GRANT HWY,D6,4,1927,61,65,1,1120500.0,40.8381844,-73.9225243,on a listed block
2025060111,1282 SHAKESPEARE AVENUE,D3,3,2015,60,60,1,2217150.0,40.8394001,-73.9222337,on a listed block
2025060120,1302 SHAKESPEARE AVENUE,B1,1,1901,2,2,1,45060.0,40.8398859,-73.9221681,on a listed block
2025060079,1250 SHAKESPEARE AVENUE,I5,8,1931,0,1,1,187650.0,40.8384234,-73.9227806,on a listed block
2025060081,1256 SHAKESPEARE AVENUE,C1,2,2024,13,13,1,470250.0,40.8385111,-73.9227191,on a listed block
2025060148,67 WEST 169 STREET,C1,2,1925,8,8,1,301050.0,40.8392381,-73.9220785,on a listed block
2025060121,80 WEST 170 STREET,D1,3,1937,58,58,1,1393200.0,40.8401137,-73.9221389,on a listed block
2025060133,1345 EDWARD L GRANT HWY,S2,4,1910,2,3,1,35880.0,40.8400091,-73.9216729,on a listed block
2025060132,1347 EDWARD L GRANT HWY,S1,4,1910,1,2,1,39960.0,40.8400585,-73.92168,on a listed block
2025060129,1349 EDWARD L GRANT HWY,K2,5,1931,0,1,1,234900.0,40.8401463,-73.9217016,on a listed block
2025060136,1333 EDWARD L GRANT HWY,S2,4,1910,2,3,1,38580.0,40.8397621,-73.9217418,on a listed block
2025060125,WEST 170TH STREET,D7,4,2024,39,40,1,2862900.0,40.8400943,-73.9218498,on a listed block
2025060134,1337 EDWARD L GRANT HWY,D1,3,1931,28,28,1,557100.0,40.8398664,-73.9217453,on a listed block
2025060138,1325 EDWARD L GRANT HWY,D1,3,1930,57,57,1,923850.0,40.8395617,-73.9217746,on a listed block
2028577501,1477 MACOMBS ROAD,RA,8,2022,0,4,1,13103100.0,40.8421559,-73.9183598,on a listed block
2028567501,1325 JEROME AVENUE,RM,4,2019,255,257,1,15012854.0,40.8386213,-73.919282,on a listed block
2028440075,1454 WALTON AVENUE,D1,3,1928,79,79,1,2429100.0,40.8408056,-73.9147256,on a listed block
2031920075,7 WEST BURNSIDE AVENUE,K9,5,1927,0,5,1,4021650.0,40.8540817,-73.9075549,on a listed block
2025060087,1272 SHAKESPEARE AVENUE,QG,9,0,0,0,0,16500.0,40.8388788,-73.9224657,on a listed block
2025060082,1258 SHAKESPEARE AVE,D1,3,2022,90,90,1,4293450.0,40.8386922,-73.9226068,on a listed block
2028440116,JEROME AVENUE,V0,11,0,0,0,0,180.0,40.8418083,-73.9159206,on a listed block
2028440054,EAST 172 STREET,V0,11,0,0,0,0,5820.0,40.841706,-73.9149883,on a listed block
2028460041,1565 TOWNSEND AVENUE,D1,3,1941,61,61,1,1278450.0,40.8435803,-73.914451,on a listed block
2028570015,1426 CROMWELL AVENUE,G2,7,1924,0,4,2,487800.0,40.8417334,-73.9187145,on a listed block
2028640072,1325 INWOOD AVENUE,C0,2,1930,3,3,1,76320.0,40.8390007,-73.9201309,on a listed block
2031850008,2165 WALTON AVENUE,B1,1,1901,2,2,1,31620.0,40.8558578,-73.9045629,on a listed block
2031920141,2118 DAVIDSON AVENUE,B1,1,1996,2,2,1,44400.0,40.8555576,-73.9065985,on a listed block
2031950012,2176 GRAND AVENUE,D1,3,1954,54,54,1,1156950.0,40.8571412,-73.9064879,on a listed block
2031950002,2152 GRAND AVENUE,B2,1,1991,2,2,1,45060.0,40.8564636,-73.9069624,on a listed block
2031920013,2066 DAVIDSON AVENUE,B1,1,1996,2,2,1,47340.0,40.8543782,-73.9076738,on a listed block
2031980045,29 EVELYN PLACE,C1,2,2021,11,11,1,612000.0,40.8596098,-73.9045756,on a listed block
2024890026,1221 RIVER AVENUE,V1,11,0,0,0,1,125100.0,40.8361525,-73.9213738,on a listed block
2024890027,17 EAST 167 STREET,K1,5,1991,0,1,1,227700.0,40.8359906,-73.9213596,on a listed block
2025060075,1246 SHAKESPEARE AVENUE,C7,4,1926,33,35,1,559350.0,40.8382478,-73.9228928,on a listed block
