Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,CommntyDst,CouncilDst,NTA2020,NTAName20,hdb_completed,hdb_address,excluded_via
320373528,New Building,5. Completed Construction,3422260,3040060031,3,176,ATKINS AVENUE,2013.0,2012.0,0.0,2,2.0,2.0,2012-02-10,2012-06-27,2013-11-21,B1,,40.67476374627242,-73.87932675945562,305,42,BK0502,East New York (North),True,176 ATKINS AVENUE,bbl_block
320461308,Alteration,5. Completed Construction,3088142,3039580011,3,193,SHEPHERD AVENUE,2016.0,2015.0,2.0,2,0.0,2.0,2012-04-11,2015-04-23,2016-08-30,B1,TO OBTAIN CERTIFIED OF OCCUPANCY FOR AN EXISTING 2 FAMILY DWELLING.  INSTALL NEW PLUMBING FIXTURES IN CELLAR.,40.68006330959948,-73.88157375828163,305,37,BK0501,Cypress Hills,True,193 SHEPHERD AVENUE,bbl_block
320548252,Alteration,5. Completed Construction,3087923,3039520023,3,2930,FULTON STREET,2013.0,2012.0,2.0,4,2.0,4.0,2012-08-24,2012-12-03,2013-12-23,K4,"CHANGE USE FROM MANUFACTURING TO COMMERCIAL ON FIRST FLOOR, COMMUNITY FACILITY ON SECOND FLOOR AND TWO FAMILY DWELLING ON THIRD FLOOR. OBTAIN NEW C OF O",40.67912321642334,-73.88657014748956,305,37,BK0501,Cypress Hills,True,2930 FULTON STREET,bbl_block
320550186,New Building,5. Completed Construction,3397849,3039830010,3,327,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,40.67581810023969,-73.88627623267685,305,37,BK0502,East New York (North),True,327 WARWICK STREET,bbl_block
320550195,New Building,5. Completed Construction,3397850,3039830011,3,329,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-11-18,2019-12-10,B1,,40.67576345518816,-73.88626230154351,305,37,BK0502,East New York (North),True,329 WARWICK STREET,bbl_block
320550202,New Building,5. Completed Construction,3397851,3039830012,3,331,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-11-18,2019-12-10,B1,,40.675708806401474,-73.88624846087681,305,37,BK0502,East New York (North),True,331 WARWICK STREET,bbl_block
320550211,New Building,5. Completed Construction,3397852,3039830013,3,333,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,40.675654163954086,-73.88623419940765,305,37,BK0502,East New York (North),True,333 WARWICK STREET,bbl_block
320550220,New Building,5. Completed Construction,3397853,3039830014,3,335,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,40.6755994082974,-73.88621984206962,305,37,BK0502,East New York (North),True,335 WARWICK STREET,bbl_block
320819708,Alteration,5. Completed Construction,3426956,3039770032,3,531,GLENMORE AVENUE,2023.0,2015.0,0.0,3,3.0,3.0,2014-06-03,2015-05-19,2023-07-17,C0,,40.674185,-73.890864,305,37,BK0502,East New York (North),True,531 GLENMORE AVENUE,bbl_block
320819717,Alteration,5. Completed Construction,3327140,3039770033,3,527,GLENMORE AVENUE,2023.0,2015.0,0.0,2,2.0,2.0,2014-06-03,2015-06-02,2023-08-14,B9,OBTAIN NEW CO AS 2-FAMILY DWELLING AS A RESULT OF LOT SUBDIVISION. PROPOSE 2 STORY HORIZONTAL ENLARGEMENT.,40.67412346887548,-73.8908738523926,305,37,BK0502,East New York (North),True,527 GLENMORE AVENUE,bbl_block
320915630,New Building,5. Completed Construction,3426517,3039520022,3,2926,FULTON STREET,2019.0,2017.0,0.0,3,3.0,3.0,2014-04-25,2017-04-10,2019-05-14,S3,,40.67909888509966,-73.88670464732967,305,37,BK0501,Cypress Hills,True,2926 FULTON STREET,bbl_block
321184446,New Building,5. Completed Construction,3428606,3041437501,3,250,EUCLID AVENUE,2024.0,2021.0,0.0,403,403.0,403.0,2017-01-27,2021-07-01,2024-02-01,R0,,40.682562696542085,-73.87461975875902,305,37,BK0501,Cypress Hills,True,250 EUCLID AVENUE,bbl_block
321184491,New Building,5. Completed Construction,3328398,3039710049,3,735,LIBERTY AVENUE,2021.0,2019.0,0.0,10,10.0,10.0,2017-02-02,2019-01-17,2021-12-07,C7,"PROPOSED NEW 4 STORY AND CELLAR BUILDING, 10 RESIDENTIAL UNITS, 1 STORE ON FIRST FLOOR",40.67663228870298,-73.88269379992984,305,37,BK0501,Cypress Hills,True,735 LIBERTY AVENUE,bbl_block
321184507,Alteration,5. Completed Construction,3088390,3039710047,3,737,LIBERTY AVENUE,2020.0,2018.0,3.0,10,7.0,10.0,2017-02-02,2018-09-18,2020-04-16,C1,"PROPOSED HORIZONTAL AND VERTICAL ENLARGEMENT OF EXISTING 3 STORY, 3 UNITS AND 1 STORE BUILDING; NEW 4TH FLOOR AND REAR EXTENSION TO CREATE 10 CLASS A APARTMENTS.",40.67661911326604,-73.88259096899995,305,37,BK0501,Cypress Hills,True,737 LIBERTY AVENUE,bbl_block
321193944,New Building,5. Completed Construction,3425163,3039710019,3,315,LINWOOD STREET,2020.0,2018.0,0.0,100,100.0,100.0,2017-06-29,2018-06-28,2020-05-27,D6,A 10 STORY NEW BUILDING,40.678034198869554,-73.88335150301509,305,37,BK0501,Cypress Hills,True,315 LINWOOD STREET,bbl_block
321384337,New Building,5. Completed Construction,3426287,3041547501,3,265,LOGAN STREET,2025.0,2022.0,0.0,343,343.0,343.0,2018-09-17,2022-09-29,2025-03-20,R0,,40.67973195056644,-73.8769275791718,305,37,BK0502,East New York (North),True,265 LOGAN STREET,bbl_block
321400462,Alteration,5. Completed Construction,3088475,3039770001,3,275,MILLER AVENUE,2021.0,2017.0,0.0,7,7.0,7.0,2016-06-08,2017-04-26,2021-07-22,C1,CONVERSION TO 7-UNIT RESIDENCE,40.67432115710339,-73.89139230462835,305,37,BK0502,East New York (North),True,275 MILLER AVENUE,bbl_block
321595350,New Building,5. Completed Construction,3428583,3039560059,3,190,ESSEX STREET,2023.0,2020.0,0.0,15,15.0,15.0,2019-10-17,2020-09-22,2023-09-21,C1,,40.67975198058772,-73.88302208496825,305,37,BK0501,Cypress Hills,True,190 ESSEX STREET,bbl_block
321595699,New Building,1. Filed Application,3252981,3042080010,3,175,MILFORD STREET,,,0.0,3,3.0,,2019-11-07,,,V0,,40.675343,-73.87699,305,42,BK0502,East New York (North),False,175 MILFORD STREET,bbl_block
321595859,New Building,1. Filed Application,3252982,3042080035,3,446,LOGAN STREET,,,0.0,3,3.0,,2019-11-13,,,V0,,40.675282,-73.876611,305,42,BK0502,East New York (North),False,446 LOGAN STREET,bbl_block
321621937,New Building,3. Permitted for Construction,3424449,3039850001,3,395,CLEVELAND STREET,,2023.0,0.0,3,3.0,,2017-07-14,2023-05-08,,C0,,40.675208,-73.884424,305,37,BK0502,East New York (North),False,395 CLEVELAND STREET,bbl_block
321621946,New Building,3. Permitted for Construction,3429478,3039850003,3,389,CLEVELAND STREET,,2023.0,0.0,3,3.0,,2017-07-14,2023-04-28,,C0,,40.675307,-73.884387,305,37,BK0502,East New York (North),False,389 CLEVELAND STREET,bbl_block
321635637,New Building,5. Completed Construction,3426568,3040060013,3,820,GLENMORE AVENUE,2020.0,2019.0,0.0,79,79.0,79.0,2017-08-09,2019-01-16,2020-09-09,D3,,40.67542760488027,-73.87960152219004,305,42,BK0502,East New York (North),True,820 GLENMORE AVENUE,bbl_block
321660332,New Building,5. Completed Construction,3319656,3040030035,3,2437,PITKIN AVENUE,2020.0,2019.0,0.0,32,32.0,32.0,2017-09-27,2019-01-04,2020-10-30,D6,,40.67413761612905,-73.8824654009287,305,42,BK0502,East New York (North),True,2437 PITKIN AVENUE,bbl_block
321731453,Alteration,5. Completed Construction,3088748,3039910037,3,849,GLENMORE AVENUE,2021.0,2019.0,1.0,2,1.0,2.0,2018-08-24,2019-07-18,2021-02-18,B3,"CELLAR, 1ST FLOOR AND 2ND FLOOR + INTERIOR WORK + CONCERSION FROM ONE TO TWO FAMILY DWELLING.",40.67588815192693,-73.8788326345186,305,37,BK0502,East New York (North),True,849 GLENMORE AVENUE,bbl_block
321703705,Demolition,5. Completed Construction,3087869,3039500047,3,2863,ATLANTIC AVENUE,2018.0,2018.0,2.0,0,-2.0,,2018-01-11,2018-04-26,2018-04-26,V1,THIS IS A FULL DEMOLITION OF 2 STORY MIXED RESIDENTIAL AND COMMERCIAL BUILDING. PLANS SUBMITTED.   FENCE FILED UNDER SEPARATE APPLICATION.,40.677293,-73.888487,305,37,BK0501,Cypress Hills,True,2863 ATLANTIC AVENUE,bbl_block
321718361,Demolition,5. Completed Construction,3328398,3039710049,3,735,LIBERTY AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-23,2018-07-25,2018-07-25,C7,FULL DEMOLITION OF EXISTING BUILDING,40.67663228870298,-73.88269379992984,305,37,BK0501,Cypress Hills,True,735 LIBERTY AVENUE,bbl_block
321718414,Demolition,5. Completed Construction,3328398,3039710049,3,735 REAR,LIBERTY AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-29,2018-07-25,2018-07-25,C7,FULL DEMOLITION OF EXISTING BUILDING,40.67667025430372,-73.8827010699022,305,37,BK0501,Cypress Hills,True,735 REAR LIBERTY AVENUE,bbl_block
321813524,New Building,3. Permitted for Construction,3380644,3041930129,3,30,DOSCHER STREET,,2022.0,0.0,2,2.0,,2018-07-24,2022-06-21,,B2,,40.6768974652536,-73.8734148254778,305,37,BK0505,East New York-City Line,False,30 DOSCHER STREET,bbl_block
321904631,New Building,5. Completed Construction,3088392,3039710051,3,729,LIBERTY AVENUE,2021.0,2020.0,0.0,10,10.0,10.0,2019-01-10,2020-06-01,2021-12-22,C7,,40.67660891507859,-73.88287036938193,305,37,BK0501,Cypress Hills,True,729 LIBERTY AVENUE,bbl_block
321835430,New Building,5. Completed Construction,3088675,3039870010,3,720,LIBERTY AVENUE,2023.0,2021.0,0.0,10,10.0,10.0,2018-09-21,2021-01-12,2023-01-20,C7,,40.67621774132951,-73.88304766559052,305,37,BK0502,East New York (North),True,720 LIBERTY AVENUE,bbl_block
321931898,Demolition,5. Completed Construction,3088392,3039710051,3,729,LIBERTY AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-03-12,2019-12-05,2019-12-05,C7,PROPOSE FULL DEMOLITION OF EXISTING TWO STORY FRAMED BUILDING WITH BASEMENT.,40.67660891507859,-73.88287036938193,305,37,BK0501,Cypress Hills,True,729 LIBERTY AVENUE,bbl_block
321974388,New Building,5. Completed Construction,3425604,3039600046,3,234,NORWOOD AVENUE,2024.0,2023.0,0.0,6,6.0,6.0,2019-06-28,2023-01-06,2024-09-05,C2,,40.68035945500044,-73.87916678802048,305,37,BK0501,Cypress Hills,True,234 NORWOOD AVENUE,bbl_block
321979702,Demolition,5. Completed Construction,3088722,3039890007,3,341,SHEPHERD AVENUE,2022.0,2022.0,2.0,0,-2.0,,2019-08-12,2022-01-10,2022-01-10,V0,DEMOLITION OF A TWO STORY HOUSE,40.676215,-73.881029,305,37,BK0502,East New York (North),True,341 SHEPHERD AVENUE,bbl_block
322039888,New Building,5. Completed Construction,3430261,3039520020,3,2922,FULTON STREET,2025.0,2022.0,0.0,7,7.0,7.0,2020-02-25,2022-05-11,2025-09-09,D6,,40.67900780616601,-73.88686815009952,305,37,BK0501,Cypress Hills,True,2922 FULTON STREET,bbl_block
322102176,Demolition,5. Completed Construction,3430036,3039710050,3,731,LIBERTY AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-11-22,2022-04-07,2022-04-07,C7,FULL DEMOLITION TO A TWO STORY BUILDING,40.676656,-73.882795,305,37,BK0501,Cypress Hills,True,731 LIBERTY AVENUE,bbl_block
322098207,Demolition,5. Completed Construction,3088947,3040030003,3,447,LINWOOD STREET,2022.0,2022.0,2.0,0,-2.0,,2021-07-19,2022-03-22,2022-03-22,V0,DEMOLITION OF STRUCTURE,40.674446,-73.882464,305,42,BK0502,East New York (North),True,447 LINWOOD STREET,bbl_block
322106911,Demolition,5. Completed Construction,3429466,3039890001,3,353,SHEPHERD AVENUE,2022.0,2022.0,1.0,0,-1.0,,2022-07-14,2022-10-31,2022-10-31,V0,PROPOSE FULL DEMOLITION OF ONE-STORY DETACHED RESIDENTIAL BUILDING USING NON-MECHANICAL MEANS.,40.675756,-73.880915,305,37,BK0502,East New York (North),True,353 SHEPHERD AVENUE,bbl_block
322106957,Demolition,5. Completed Construction,3429466,3039890001,3,355,SHEPHERD AVENUE,2022.0,2022.0,1.0,0,-1.0,,2022-07-14,2022-10-31,2022-10-31,D1,PROPOSE FULL DEMOLITION OF ONE-STORY RESIDENTIAL BUILDING USING NON-MECHANICAL MEANS.,40.675756,-73.880915,305,37,BK0502,East New York (North),True,355 SHEPHERD AVENUE,bbl_block
322114555,Alteration,1. Filed Application,3088725,3039890018,3,94,BERRIMAN STREET,,,3.0,3,0.0,,2024-06-11,,,C3,FILING ALT 1 NO WORK APPLICATION IN CONJUNCTION WITH NB APPLICATION #B00670629-I1  TO UPDATE PROPERTY MEETS AND BOUNDS,40.67652653104268,-73.88066396747217,305,37,BK0502,East New York (North),False,94 BERRIMAN STREET,bbl_block
322114564,Alteration,1. Filed Application,3088723,3039890009,3,339,SHEPHERD AVENUE,,,2.0,2,0.0,,2024-06-11,,,B2,FILING ALT 1 NO WORK APPLICATION IN CONJUNCTION WITH NB APPLICATION #B00670629-I1  TO UPDATE PROPERTY MEETS AND BOUNDS,40.676303322716194,-73.88111903174736,305,37,BK0502,East New York (North),False,339 SHEPHERD AVENUE,bbl_block
321187069,New Building,5. Completed Construction,3319652,3040010001,3,437,CLEVELAND STREET,2019.0,2017.0,0.0,2,2.0,2.0,2016-04-27,2017-09-28,2019-08-28,B1,PROPOSED NEW TWO (2)- STORY RESIDENTIAL BUILDING WITH CELLAR. TWO (2)DWELLING UNITS. UNDERPINNING &amp; SHORING IS REQUIRED FOR 441 CLEVELAND S BUILDING. OBTAIN NEW CERTIFICATE OF OCCUPANCY,40.6740629001293,-73.88409596548689,305,42,BK0502,East New York (North),True,437 CLEVELAND STREET,bbl_block
321189138,New Building,5. Completed Construction,3428798,3041540061,3,32,FOUNTAIN AVENUE,2020.0,2018.0,0.0,7,7.0,7.0,2016-11-01,2018-02-28,2020-08-13,C1,,40.679293913927786,-73.87660196383894,305,37,BK0502,East New York (North),True,32 FOUNTAIN AVENUE,bbl_block
