Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
321658924,New Building,5. Completed Construction,3425590,3014560001,3,2178,BERGEN STREET,2020.0,2019.0,0.0,33,33.0,33.0,2017-10-19,2019-03-01,2020-02-13,C1,,True,2178 BERGEN STREET,bin,3014560001,3014560001,False,3425590,hdb_bin
321660332,New Building,5. Completed Construction,3319656,3040030035,3,2437,PITKIN AVENUE,2020.0,2019.0,0.0,32,32.0,32.0,2017-09-27,2019-01-04,2020-10-30,D6,,True,2437 PITKIN AVENUE,bin,3040030035,3040030035,False,3319656,hdb_bin
321662928,New Building,5. Completed Construction,3425973,3037030001,3,369,GLENMORE AVENUE,2021.0,2018.0,0.0,0,0.0,40.0,2017-10-03,2018-05-04,2021-12-06,H3,PROPOSED 3-STORY HOTEL,True,369 GLENMORE AVENUE,bin,3037030001,3037030001,False,3425973,hdb_bin
321672061,New Building,5. Completed Construction,3414602,3039680037,3,671,LIBERTY AVENUE,2019.0,2018.0,0.0,10,10.0,10.0,2017-12-28,2018-05-21,2019-07-17,C7,NEW 10 FAMILY DWELLING WITH SMALL COMMERCIAL SPACE.,True,671 LIBERTY AVENUE,bin,3039680037,3039680037,False,3414602,hdb_bin
321676986,Demolition,5. Completed Construction,3083824,3037220008,3,273,NEW JERSEY AVENUE,2018.0,2018.0,1.0,0,-1.0,,2017-10-30,2018-01-30,2018-01-30,V0,FULL DEMOLITION OF 2 STORY FULLY DETACHED RESIDENTIAL BUILDING TO COMPLY WITH HPD IMMEDIATE EMERGENCY DECLARATION DEMOLITION.,True,273 NEW JERSEY AVENUE,bin,3037220008,3037220008,False,3083824,hdb_bin
321681505,New Building,5. Completed Construction,3083220,3036640052,3,2741,FULTON STREET,2021.0,2019.0,0.0,10,10.0,10.0,2018-01-16,2019-11-15,2021-06-16,C7,,True,2741 FULTON STREET,bin,3036640052,3036640052,False,3083220,hdb_bin
321731453,Alteration,5. Completed Construction,3088748,3039910037,3,849,GLENMORE AVENUE,2021.0,2019.0,1.0,2,1.0,2.0,2018-08-24,2019-07-18,2021-02-18,B3,"CELLAR, 1ST FLOOR AND 2ND FLOOR + INTERIOR WORK + CONCERSION FROM ONE TO TWO FAMILY DWELLING.",True,849 GLENMORE AVENUE,bin,3039910037,3039910037,False,3088748,hdb_bin
321703705,Demolition,5. Completed Construction,3087869,3039500047,3,2863,ATLANTIC AVENUE,2018.0,2018.0,2.0,0,-2.0,,2018-01-11,2018-04-26,2018-04-26,V1,THIS IS A FULL DEMOLITION OF 2 STORY MIXED RESIDENTIAL AND COMMERCIAL BUILDING. PLANS SUBMITTED.   FENCE FILED UNDER SEPARATE APPLICATION.,True,2863 ATLANTIC AVENUE,bbl,3039500047,3039500047,False,,no_footprint
321718361,Demolition,5. Completed Construction,3328398,3039710049,3,735,LIBERTY AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-23,2018-07-25,2018-07-25,C7,FULL DEMOLITION OF EXISTING BUILDING,True,735 LIBERTY AVENUE,bin,3039710049,3039710049,False,3328398,hdb_bin
321718414,Demolition,5. Completed Construction,3328398,3039710049,3,735 REAR,LIBERTY AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-29,2018-07-25,2018-07-25,C7,FULL DEMOLITION OF EXISTING BUILDING,True,735 REAR LIBERTY AVENUE,bin,3039710049,3039710049,False,3328398,hdb_bin
321719100,New Building,3. Permitted for Construction,3428836,3039570001,3,213,ESSEX STREET,,2020.0,0.0,6,6.0,,2018-03-16,2020-08-27,,C2,,False,213 ESSEX STREET,bbl,3039570001,3039570001,False,,no_footprint
321719173,New Building,3. Permitted for Construction,3088346,3039670037,3,651,LIBERTY AVENUE,,2024.0,0.0,28,28.0,,2018-03-16,2024-08-30,,C1,,False,651 LIBERTY AVENUE,bbl,3039670037,3039670037,False,,no_footprint
321766282,New Building,3. Permitted for Construction,3429006,3039670010,3,283,WARWICK STREET,,2021.0,0.0,10,10.0,,2019-06-03,2021-06-22,,C1,"PROPOSE 4 STORY, 10-FAMILY DWELLING.",False,283 WARWICK STREET,bbl,3039670010,3039670010,False,3088334,lot_single_bin
321801225,Alteration,3. Permitted for Construction,3094586,3042090027,3,188,FOUNTAIN AVENUE,,2019.0,1.0,2,1.0,,2018-07-09,2019-08-16,,B1,,False,188 FOUNTAIN AVENUE,bin,3042090027,3042090027,False,3094586,hdb_bin
321813524,New Building,3. Permitted for Construction,3380644,3041930129,3,30,DOSCHER STREET,,2022.0,0.0,2,2.0,,2018-07-24,2022-06-21,,B2,,False,30 DOSCHER STREET,bbl,3041930129,3041930129,False,,no_footprint
321779517,Demolition,5. Completed Construction,3088108,3039570001,3,213,ESSEX STREET,2020.0,2020.0,1.0,0,-1.0,,2018-03-23,2020-02-10,2020-02-10,C2,DEMO OF ON FAMILY DWELLING,True,213 ESSEX STREET,bbl,3039570001,3039570001,False,,no_footprint
321785127,Alteration,5. Completed Construction,3088633,3039840019,3,376,CLEVELAND STREET,2025.0,2022.0,0.0,3,3.0,3.0,2019-06-25,2022-08-25,2025-09-19,C0,,True,376 CLEVELAND STREET,bin,3039840019,3039840019,False,3088633,hdb_bin
321794858,Demolition,5. Completed Construction,3083379,3036740016,3,2746,FULTON STREET,2018.0,2018.0,2.0,0,-2.0,,2018-04-13,2018-06-29,2018-06-29,C7,LEGALIZATION OF DEMOLITION,True,2746 FULTON STREET,bin,3036740016,3036740016,False,3083379,hdb_bin
321903188,Demolition,5. Completed Construction,3426643,3014500001,3,221,MOTHER GASTON BOULEVARD,2019.0,2019.0,2.0,0,-2.0,,2019-01-10,2019-05-06,2019-05-06,D6,DEMOLITION OF A TWO STORY HOUSE,True,221 MOTHER GASTON BOULEVARD,bin,3014500001,3014500001,False,3426643,hdb_bin
321904631,New Building,5. Completed Construction,3088392,3039710051,3,729,LIBERTY AVENUE,2021.0,2020.0,0.0,10,10.0,10.0,2019-01-10,2020-06-01,2021-12-22,C7,,True,729 LIBERTY AVENUE,bin,3039710051,3039710051,False,3088392,hdb_bin
321907825,Demolition,5. Completed Construction,3083538,3036880037,3,399,LIBERTY AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-01-07,2019-06-27,2019-06-27,V1,FILING FOR FULL DEMOLITION,True,399 LIBERTY AVENUE,bin,3036880037,3036880037,False,3083538,hdb_bin
321907834,Demolition,5. Completed Construction,3083539,3036880038,3,397,LIBERTY AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-01-07,2019-06-27,2019-06-27,V1,,True,397 LIBERTY AVENUE,bin,3036880038,3036880038,False,3083539,hdb_bin
321910777,Alteration,3. Permitted for Construction,3083106,3036600002,3,27,PENNSYLVANIA AVENUE,,2019.0,61.0,56,-5.0,,2019-03-05,2019-10-16,,H3,AMEND EXISTING C/O FROM 61 GUEST ROOM TO 56 GUEST ROOM AT 1ST AND 2ND LFOOR,False,27 PENNSYLVANIA AVENUE,bin,3036600002,3036600002,False,3083106,hdb_bin
321912748,Alteration,5. Completed Construction,3088322,3039650031,3,601,LIBERTY AVENUE,2020.0,2019.0,2.0,3,1.0,3.0,2019-03-01,2019-06-20,2020-02-10,C0,TO CONVERT THE FIRST FLOOR'S OCCUPANCY FROM STORE TO DWELLING.,True,601 LIBERTY AVENUE,bin,3039650031,3039650031,False,3088322,hdb_bin
321825959,New Building,5. Completed Construction,3088714,3039880035,3,777,GLENMORE AVENUE,2021.0,2020.0,0.0,32,32.0,32.0,2018-08-23,2020-06-16,2021-11-30,D3,,True,777 GLENMORE AVENUE,bin,3039880035,3039880035,False,3088714,hdb_bin
321835430,New Building,5. Completed Construction,3088675,3039870010,3,720,LIBERTY AVENUE,2023.0,2021.0,0.0,10,10.0,10.0,2018-09-21,2021-01-12,2023-01-20,C7,,True,720 LIBERTY AVENUE,bin,3039870010,3039870010,False,3088675,hdb_bin
321836509,Alteration,5. Completed Construction,3088443,3039760015,3,49,MONTAUK AVENUE,2020.0,2019.0,2.0,2,0.0,2.0,2018-09-14,2019-05-14,2020-04-29,B2,,True,49 MONTAUK AVENUE,bin,3039760015,3039760015,False,3088443,hdb_bin
321930531,Demolition,5. Completed Construction,3087692,3039410019,3,2999,FULTON STREET,2019.0,2019.0,4.0,0,-4.0,,2019-03-08,2019-06-14,2019-06-14,V1,FULL DEMOLITION OF 3 STORY SEMI-DETACHED WOOD FRAMED MIXED USE BUILDING TO COMPLY WITH NYC HPD IMMEDIATE EMERGENCY DECLARATION. BUILDING IS AT RISK OF COLLAPSE AND IS CONSIDERED TO BE A DANGER TO THE PUBLIC AND ADJACENT BUILDINGS.,True,2999 FULTON STREET,bin,3039410019,3039410019,False,3087692,hdb_bin
321931898,Demolition,5. Completed Construction,3088392,3039710051,3,729,LIBERTY AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-03-12,2019-12-05,2019-12-05,C7,PROPOSE FULL DEMOLITION OF EXISTING TWO STORY FRAMED BUILDING WITH BASEMENT.,True,729 LIBERTY AVENUE,bin,3039710051,3039710051,False,3088392,hdb_bin
321915718,New Building,5. Completed Construction,3426643,3014500001,3,2175,BERGEN STREET,2020.0,2019.0,0.0,41,41.0,41.0,2019-02-19,2019-11-07,2020-10-19,D6,,True,2175 BERGEN STREET,bin,3014500001,3014500001,False,3426643,hdb_bin
321922568,Alteration,5. Completed Construction,3094628,3042110003,3,133,CRYSTAL STREET,2025.0,2020.0,1.0,2,1.0,2.0,2019-06-04,2020-01-10,2025-03-14,B3,,True,133 CRYSTAL STREET,bin,3042110003,3042110003,False,3094628,hdb_bin
321939676,New Building,5. Completed Construction,3087808,3039480043,3,2817,ATLANTIC AVENUE,2022.0,2021.0,0.0,68,68.0,68.0,2019-04-02,2021-05-05,2022-11-21,D7,,True,2817 ATLANTIC AVENUE,bin,3039480043,3039480043,False,3087808,hdb_bin
321952017,Demolition,5. Completed Construction,3428627,3041530040,3,3294,ATLANTIC AVENUE,2019.0,2019.0,1.0,0,-1.0,,2019-07-25,2019-11-27,2019-11-27,H3,DEMO OF ONE STORY STRUCTURE,True,3294 ATLANTIC AVENUE,bin,3041530040,3041530040,False,3428627,hdb_bin
321974388,New Building,5. Completed Construction,3425604,3039600046,3,234,NORWOOD AVENUE,2024.0,2023.0,0.0,6,6.0,6.0,2019-06-28,2023-01-06,2024-09-05,C2,,True,234 NORWOOD AVENUE,bin,3039600046,3039600046,False,3425604,hdb_bin
321974752,Alteration,5. Completed Construction,3088594,3039820024,3,348,WARWICK STREET,2023.0,2021.0,1.0,2,1.0,2.0,2019-06-28,2021-07-09,2023-09-13,B2,,True,348 WARWICK STREET,bin,3039820024,3039820024,False,3088594,hdb_bin
321978865,New Building,5. Completed Construction,3429739,3037230026,3,250,WYONA STREET,2024.0,2022.0,0.0,2,2.0,2.0,2019-12-20,2022-07-15,2024-01-19,B2,"PROPOSED NEW TWO (2) STORY, TWO (2) FAMILY DWELLING WITH CELLAR.",True,250 WYONA STREET,bin,3037230026,3037230026,False,3429739,hdb_bin
321979702,Demolition,5. Completed Construction,3088722,3039890007,3,341,SHEPHERD AVENUE,2022.0,2022.0,2.0,0,-2.0,,2019-08-12,2022-01-10,2022-01-10,V0,DEMOLITION OF A TWO STORY HOUSE,True,341 SHEPHERD AVENUE,bbl,3039890007,3039890007,False,,no_footprint
321979748,Demolition,5. Completed Construction,3083572,3036900027,3,449,LIBERTY AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-08-01,2019-12-16,2019-12-16,C7,DEMOLITION OF A TWO STORY HOUSE,True,449 LIBERTY AVENUE,bin,3036900027,3036900027,False,3083572,hdb_bin
